contributors
"[{'contributors_names': ['7oSkaaa', 'aboelsooud', 'AhmedGamal2212', 'osama-swe', 'NayraM0hammed', 'omar2818', 'omarsalem33', 'NouraAlgohary', 'MiinaMagdy', 'mohamedibrahim3', 'mazen-alasas', 'OmarSanad3', 'HazemElakbawy', 'LobnaMazhar', 'EsraaSyam', 'actions-user', 'LamaSalah32', 'Hima-khalid', 'WalaaAbdElhady', 'SaraSaadoun', '1Ahmedzedan', 'Zeinab-Mohy', 'ab-elhaddad', 'Mohamed-Ashraf-2210', 'ubeysaab', 'EmanElsayed2002', 'EsEz1', 'Eileanora', 'anasmaher', 'MohamedAmrF'], 'contributions_count': [3611, 566, 483, 166, 150, 138, 105, 93, 90, 86, 53, 53, 53, 43, 40, 39, 36, 30, 30, 28, 26, 26, 24, 23, 23, 23, 21, 20, 18, 15]}]"
"[{'contributors_names': ['shellfly'], 'contributions_count': [83]}]"
"[{'contributors_names': ['ringa-tech', 'bradelev', 'kerkox'], 'contributions_count': [6, 1, 1]}]"
"[{'contributors_names': ['feltroidprime', 'tekkac', 'abdelhamidbakhta', 'bacharif', 'xflpt', 'swapnilraj', 'rdubois-crypto'], 'contributions_count': [160, 21, 15, 5, 4, 2, 1]}]"
"[{'contributors_names': ['wagslane'], 'contributions_count': [5]}]"
"[{'contributors_names': ['mitchellh'], 'contributions_count': [11]}]"
"[{'contributors_names': ['conghaonet'], 'contributions_count': [30]}]"
"[{'contributors_names': ['akanshSirohi', 'dependabot[bot]', 'akansh-sirohi'], 'contributions_count': [90, 5, 1]}]"
"[{'contributors_names': ['xoofx'], 'contributions_count': [68]}]"
"[{'contributors_names': ['shwang'], 'contributions_count': [21]}]"
"[{'contributors_names': ['nank1ro', 'allcontributors[bot]'], 'contributions_count': [53, 3]}]"
"[{'contributors_names': ['yuyudhn'], 'contributions_count': [2]}]"
"[{'contributors_names': ['MingjieChen'], 'contributions_count': [109]}]"
"[{'contributors_names': ['hnmr293'], 'contributions_count': [62]}]"
"[{'contributors_names': ['JavascriptMick'], 'contributions_count': [62]}]"
"[{'contributors_names': [], 'contributions_count': []}]"
"[{'contributors_names': ['potato4d'], 'contributions_count': [38]}]"
"[{'contributors_names': ['cleanunicorn'], 'contributions_count': [28]}]"
"[{'contributors_names': ['adamviola'], 'contributions_count': [7]}]"
"[{'contributors_names': ['Ritika-Agrawal811'], 'contributions_count': [40]}]"
"[{'contributors_names': ['glomatico', 'Kyrluckechuck'], 'contributions_count': [37, 2]}]"
"[{'contributors_names': ['life-exe', 'S1yGus', 'LucasNova'], 'contributions_count': [6, 4, 1]}]"
"[{'contributors_names': ['opensaucerer', 'Marzz29', 'CeoFred', 'ShowBaba', 'emmrys-jay', 'dark-enstein'], 'contributions_count': [98, 11, 6, 5, 4, 3]}]"
"[{'contributors_names': ['dongyx'], 'contributions_count': [7]}]"
"[{'contributors_names': ['atkrad', 'ricard-jimenez', 'Bouwdie', 'p-afraz', 'Footur', 'irasnyd', 'JordyBottelier'], 'contributions_count': [65, 5, 2, 2, 1, 1, 1]}]"
"[{'contributors_names': ['montysecurity'], 'contributions_count': [33]}]"
"[{'contributors_names': ['eerohele'], 'contributions_count': [224]}]"
"[{'contributors_names': ['mehdi-ra', 'babakDoraniArab', 'Asncodes-80', 'signorrayan', 'jigsaw373', 'pedramardakani', 'abouzarmofidian'], 'contributions_count': [22, 16, 4, 2, 1, 1, 1]}]"
"[{'contributors_names': ['ShivaBhattacharjee', 'Dark-Knight-16', 'dependabot[bot]', 'Anurag-Raut', 'Ve-Ka', 'sumit-basak2208'], 'contributions_count': [457, 26, 22, 1, 1, 1]}]"
"[{'contributors_names': ['recmo'], 'contributions_count': [14]}]"
"[{'contributors_names': ['ringa-tech'], 'contributions_count': [6]}]"
"[{'contributors_names': ['rxlabz', 'kevmoo'], 'contributions_count': [9, 3]}]"
"[{'contributors_names': ['MortezaBashsiz', 'amirmalekian', 'AmirAref'], 'contributions_count': [7, 6, 1]}]"
"[{'contributors_names': ['wata727', 'dependabot[bot]'], 'contributions_count': [26, 25]}]"
"[{'contributors_names': ['rwv', 'kbdharun'], 'contributions_count': [145, 2]}]"
"[{'contributors_names': ['KimigaiiWuyi', 'MingxuanGame', 'pre-commit-ci[bot]', 'RBAmeto', 'wangyu1997', 'lulu666lulu', 'wuchangjun233', 'LiShenshun', 'Wansn-w', 'ishkong'], 'contributions_count': [107, 4, 4, 2, 2, 2, 2, 2, 1, 1]}]"
"[{'contributors_names': ['Last-Order'], 'contributions_count': [101]}]"
"[{'contributors_names': ['An00bRektn', 'dependabot[bot]'], 'contributions_count': [34, 1]}]"
"[{'contributors_names': ['rwgk', 'wjakob', 'henryiii', 'jagerman', 'dean0x7d', 'aldanor', 'Skylion007', 'pre-commit-ci[bot]', 'YannickJadoul', 'dependabot[bot]', 'ax3l', 'bstaletic', 'wangxf123456', 'EricCousineau-TRI', 'jakobandersen', 'bmerry', 'virtuald', 'sizmailov', 'anntzer', 'SylvainCorlay', 'loriab', 'drmoose', 'lyskov', 'TrentHouliston', 'bennorth', 'jbarlow83', 'rhaschke', 'Lalaland', 'bennybp', 'laramiel'], 'contributions_count': [620, 558, 326, 301, 197, 137, 95, 59, 54, 37, 23, 22, 20, 18, 15, 15, 14, 13, 12, 12, 11, 11, 10, 10, 10, 9, 8, 7, 6, 6]}]"
"[{'contributors_names': ['aviks', 'jpsamaroo'], 'contributions_count': [18, 2]}]"
"[{'contributors_names': ['Thiru-Malai', 'dependabot[bot]'], 'contributions_count': [11, 1]}]"
"[{'contributors_names': ['lstrzepek', 'trey-wallis', 'valteriomon', 'vindi-r'], 'contributions_count': [45, 21, 2, 1]}]"
"[{'contributors_names': ['YaroslavPodorvanov', 'VictorPoprozhuk', 'dmitry-shylov'], 'contributions_count': [55, 6, 1]}]"
"[{'contributors_names': ['kisa002'], 'contributions_count': [130]}]"
"[{'contributors_names': ['fallenoak', 'natrist', 'superp00t'], 'contributions_count': [270, 9, 2]}]"
"[{'contributors_names': ['shantanu561993'], 'contributions_count': [1]}]"
"[{'contributors_names': ['RomanRII'], 'contributions_count': [17]}]"
"[{'contributors_names': ['pxlrbt', 'dependabot[bot]', 'github-actions[bot]'], 'contributions_count': [5, 5, 5]}]"
"[{'contributors_names': ['tenaf0'], 'contributions_count': [8]}]"
"[{'contributors_names': ['poocart', 'IAmKio', 'arddluma'], 'contributions_count': [138, 39, 21]}]"
"[{'contributors_names': ['AndersBNielsen'], 'contributions_count': [4]}]"
"[{'contributors_names': ['Oxygen1a1'], 'contributions_count': [2]}]"
"[{'contributors_names': ['danielo515', 'github-actions[bot]'], 'contributions_count': [93, 4]}]"
"[{'contributors_names': ['jonasricker'], 'contributions_count': [15]}]"
"[{'contributors_names': ['Yorick-Ryu'], 'contributions_count': [35]}]"
"[{'contributors_names': ['vitaminncpp', 'SKR301'], 'contributions_count': [51, 20]}]"
"[{'contributors_names': ['lemiorhan'], 'contributions_count': [13]}]"
"[{'contributors_names': ['Hywan'], 'contributions_count': [102]}]"
"[{'contributors_names': ['vangelov'], 'contributions_count': [46]}]"
